Years,In millions of dollars:,National Defense,Human resources,"Education, Training, Employment, and Social Services",Health,Medicare,Income Security,Social Security,(On-budget),(Off-budget),Veterans Benefits and Services,Physical resources,Energy,Natural Resources and Environment,Commerce and Housing Credit,(On-budget),(Off-budget),Transportation,Community and Regional Development,Net interest,(On-budget),(Off-budget),Other functions,International Affairs,"General Science, Space, and Technology",Agriculture,Administration of Justice,General Government,Allowances,Undistributed offsetting receipts,(On-budget),(Off-budget),"Total, Federal outlays",(On-budget),(Off-budget),As percentages of outlays:,National defense,Human resources,Physical resources,Net interest,Other functions,Undistributed offsetting receipts,"Total, Federal outlays",(On-budget),(Off-budget),As percentages of GDP:,National defense,Human resources,Physical resources,Net interest,Other functions,Undistributed offsetting receipts,"Total, Federal outlays",(On-budget),(Off-budget),* 0.05 percent or less
2000,,"294,363","1,115,517","53,764","154,504","197,113","253,724","409,423","13,254","396,169","46,989","84,925",-761,"25,003","3,207","1,178","2,029","46,853","10,623","222,949","282,745","-59,796","113,777","17,213","18,594","36,458","28,499","13,013",..........,"-42,581","-34,944","-7,637","1,788,950","1,458,185","330,765",,16.5,62.4,4.7,12.5,6.4,-2.4,100.0,81.5,18.5,,2.9,11.0,0.8,2.2,1.1,-0.4,17.7,14.4,3.3,
2001,,"304,732","1,194,417","57,094","172,233","217,384","269,774","432,958","11,701","421,257","44,974","97,492",9,"25,532","5,731","3,429","2,302","54,447","11,773","206,167","274,978","-68,811","107,049","16,485","19,753","26,252","30,201","14,358",..........,"-47,011","-39,101","-7,910","1,862,846","1,516,008","346,838",,16.4,64.1,5.2,11.1,5.7,-2.5,100.0,81.4,18.6,,2.9,11.3,0.9,2.0,1.0,-0.4,17.7,14.4,3.3,
2002,,"348,456","1,317,547","70,566","196,497","230,855","312,720","455,980","13,969","442,011","50,929","104,308",475,"29,426",-407,244,-651,"61,833","12,981","170,949","247,769","-76,820","117,026","22,315","20,734","21,965","35,061","16,951",..........,"-47,392","-38,514","-8,878","2,010,894","1,655,232","355,662",,17.3,65.5,5.2,8.5,5.8,-2.4,100.0,82.3,17.7,,3.2,12.2,1.0,1.6,1.1,-0.4,18.6,15.3,3.3,
2003,,"404,733","1,417,857","82,587","219,541","249,433","334,632","474,680","13,279","461,401","56,984","115,588",-725,"29,667",727,"5,972","-5,245","67,069","18,850","153,073","236,618","-83,545","123,030","21,199","20,831","22,496","35,340","23,164",..........,"-54,382","-44,780","-9,602","2,159,899","1,796,890","363,009",,18.7,65.6,5.4,7.1,5.7,-2.5,100.0,83.2,16.8,,3.6,12.6,1.0,1.4,1.1,-0.5,19.1,15.9,3.2,
2004,,"455,813","1,485,809","87,974","240,122","269,360","333,059","495,548","14,348","481,200","59,746","116,259",-147,"30,694","5,265","9,395","-4,130","64,627","15,820","160,245","246,473","-86,228","133,252","26,870","23,029","15,439","45,576","22,338",..........,"-58,537","-47,206","-11,331","2,292,841","1,913,330","379,511",,19.9,64.8,5.1,7.0,5.8,-2.6,100.0,83.4,16.6,,3.8,12.4,1.0,1.3,1.1,-0.5,19.1,15.9,3.2,
2005,,"495,294","1,586,013","97,555","250,548","298,638","345,847","523,305","16,526","506,779","70,120","130,145",440,"27,983","7,566","9,357","-1,791","67,894","26,262","183,986","275,822","-91,836","141,743","34,565","23,597","26,565","40,019","16,997",..........,"-65,224","-54,283","-10,941","2,471,957","2,069,746","402,211",,20.0,64.2,5.3,7.4,5.7,-2.6,100.0,83.7,16.3,,3.9,12.4,1.0,1.4,1.1,-0.5,19.3,16.1,3.1,
2006,,"521,820","1,671,926","118,482","252,739","329,868","352,477","548,549","16,058","532,491","69,811","164,706",785,"33,025","6,187","7,262","-1,075","70,244","54,465","226,603","324,325","-97,722","138,245","29,499","23,584","25,969","41,016","18,177",..........,"-68,250","-56,625","-11,625","2,655,050","2,232,981","422,069",,19.7,63.0,6.2,8.5,5.2,-2.6,100.0,84.1,15.9,,3.8,12.3,1.2,1.7,1.0,-0.5,19.5,16.4,3.1,
2007,,"551,258","1,758,391","91,656","266,382","375,407","365,975","586,153","19,307","566,846","72,818","133,828",-852,"31,721",487,"-4,606","5,093","72,905","29,567","237,109","343,112","-106,003","130,338","28,482","24,407","17,662","42,362","17,425",..........,"-82,238","-69,939","-12,299","2,728,686","2,275,049","453,637",,20.2,64.4,4.9,8.7,4.8,-3.0,100.0,83.4,16.6,,3.9,12.3,0.9,1.7,0.9,-0.6,19.1,15.9,3.2,
2008,,"616,066","1,895,637","91,287","280,599","390,758","431,313","617,027","17,830","599,197","84,653","161,889",631,"31,820","27,870","25,453","2,417","77,616","23,952","252,757","366,475","-113,718","142,437","28,857","26,773","18,387","48,097","20,323",..........,"-86,242","-73,097","-13,145","2,982,544","2,507,793","474,751",,20.7,63.6,5.4,8.5,4.8,-2.9,100.0,84.1,15.9,,4.2,12.9,1.1,1.7,1.0,-0.6,20.2,17.0,3.2,
2009,,"661,012","2,155,793","79,749","334,335","430,093","533,224","682,963","34,071","648,892","95,429","443,828","4,755","35,573","291,535","291,231",304,"84,289","27,676","186,902","304,856","-117,954","162,781","37,529","28,417","22,237","52,581","22,017",..........,"-92,639","-78,413","-14,226","3,517,677","3,000,661","517,016",,18.8,61.3,12.6,5.3,4.6,-2.6,100.0,85.3,14.7,,4.6,14.9,3.1,1.3,1.1,-0.6,24.4,20.8,3.6,
2010,,"693,485","2,386,633","128,598","369,068","451,636","622,210","706,737","23,317","683,420","108,384","88,835","11,618","43,667","-82,316","-87,016","4,700","91,972","23,894","196,194","314,696","-118,502","174,048","45,195","30,100","21,356","54,383","23,014",..........,"-82,116","-67,180","-14,936","3,457,079","2,902,397","554,682",,20.1,69.0,2.6,5.7,5.0,-2.4,100.0,84.0,16.0,,4.7,16.1,0.6,1.3,1.2,-0.6,23.3,19.6,3.7,
2011,,"705,554","2,414,739","101,233","372,504","485,653","597,349","730,811","101,933","628,878","127,189","161,932","12,174","45,473","-12,564","-13,372",808,"92,966","23,883","229,962","345,943","-115,981","179,345","45,685","29,466","20,662","56,056","27,476",..........,"-88,467","-73,368","-15,099","3,603,065","3,104,459","498,606",,19.6,67.0,4.5,6.4,5.0,-2.5,100.0,86.2,13.8,,4.6,15.7,1.1,1.5,1.2,-0.6,23.4,20.2,3.2,
2012,,"677,852","2,348,587","90,823","346,742","471,793","541,344","773,290","140,387","632,903","124,595","215,287","14,858","41,631","40,647","37,977","2,670","93,019","25,132","220,408","332,801","-112,393","167,965","36,802","29,060","17,791","56,277","28,035",..........,"-103,536","-87,944","-15,592","3,526,563","3,018,975","507,588",,19.2,66.6,6.1,6.2,4.8,-2.9,100.0,85.6,14.4,,4.2,14.6,1.3,1.4,1.0,-0.6,22.0,18.8,3.2,
2013,,"633,446","2,417,950","72,808","358,316","497,826","536,511","813,551","56,009","757,542","138,938","89,997","11,042","38,145","-83,198","-81,285","-1,913","91,673","32,335","220,885","326,535","-105,650","185,388","46,464","28,908","29,678","52,601","27,737",..........,"-92,785","-76,617","-16,168","3,454,881","2,821,070","633,811",,18.3,70.0,2.6,6.4,5.4,-2.7,100.0,81.7,18.3,,3.8,14.6,0.5,1.3,1.1,-0.6,20.8,17.0,3.8,
2014,,"603,457","2,525,545","90,615","409,449","511,688","513,644","850,533","25,946","824,587","149,616","59,165","5,270","36,171","-94,861","-92,330","-2,531","91,915","20,670","228,956","329,222","-100,266","177,205","46,879","28,570","24,386","50,457","26,913",..........,"-88,044","-72,307","-15,737","3,506,284","2,800,231","706,053",,17.2,72.0,1.7,6.5,5.1,-2.5,100.0,79.9,20.1,,3.5,14.6,0.3,1.3,1.0,-0.5,20.2,16.2,4.1,
2015,,"589,659","2,706,828","122,061","482,231","546,202","508,843","887,753","30,990","856,763","159,738","115,168","6,838","36,033","-37,905","-36,195","-1,710","89,533","20,669","223,181","319,149","-95,968","172,814","52,040","29,412","18,500","51,906","20,956",..........,"-115,803","-99,795","-16,008","3,691,847","2,948,770","743,077",,16.0,73.3,3.1,6.0,4.7,-3.1,100.0,79.9,20.1,,3.3,15.0,0.6,1.2,1.0,-0.6,20.4,16.3,4.1,
2016,,"593,372","2,820,292","109,737","511,297","594,536","514,139","916,067","32,522","883,545","174,516","121,430","3,719","39,082","-34,077","-32,716","-1,361","92,566","20,140","240,033","330,608","-90,575","172,736","45,306","30,174","18,342","55,768","23,146",..........,"-95,251","-78,315","-16,936","3,852,612","3,077,939","774,673",,15.4,73.2,3.2,6.2,4.5,-2.5,100.0,79.9,20.1,,3.2,15.2,0.7,1.3,0.9,-0.5,20.8,16.6,4.2,
2017,,"598,722","2,899,317","143,976","533,129","597,307","503,484","944,878","37,393","907,485","176,543","133,526","3,856","37,896","-26,685","-24,412","-2,273","93,552","24,907","262,551","349,063","-86,512","177,338","46,309","30,394","18,870","57,944","23,821",..........,"-89,826","-72,327","-17,499","3,981,628","3,180,427","801,201",,15.0,72.8,3.4,6.6,4.5,-2.3,100.0,79.9,20.1,,3.1,15.0,0.7,1.4,0.9,-0.5,20.7,16.5,4.2,
2018,,"631,161","2,897,403","95,516","551,216","588,706","495,318","987,791","35,752","952,039","178,856","166,783","2,169","39,140","-9,470","-8,005","-1,465","92,785","42,159","324,975","408,784","-83,809","186,589","48,972","31,534","21,787","60,418","23,878",..........,"-97,869","-79,676","-18,193","4,109,042","3,260,470","848,572",,15.4,70.5,4.1,7.9,4.5,-2.4,100.0,79.3,20.7,,3.1,14.3,0.8,1.6,0.9,-0.5,20.3,16.1,4.2,
2019 estimate,,"684,568","3,175,333","142,527","600,966","651,199","533,228","1,046,955","36,327","1,010,628","200,458","148,572","3,194","39,864","-26,394","-25,450",-944,"98,907","33,001","393,498","476,241","-82,743","224,158","54,337","33,816","38,068","71,780","26,834",-677,"-96,941","-78,901","-18,040","4,529,188","3,620,287","908,901",,15.1,70.1,3.3,8.7,4.9,-2.1,100.0,79.9,20.1,,3.2,14.9,0.7,1.8,1.1,-0.5,21.3,17.0,4.3,
2020 estimate,,"737,886","3,252,442","112,368","615,950","685,230","514,241","1,107,132","39,766","1,067,366","217,521","178,653","3,536","43,690","-5,126","-5,256",130,"100,889","35,664","478,812","560,431","-81,619","208,154","53,125","34,587","19,474","69,025","31,628",315,"-110,374","-92,180","-18,194","4,745,573","3,777,890","967,683",,15.5,68.5,3.8,10.1,4.4,-2.3,100.0,79.6,20.4,,3.3,14.5,0.8,2.1,0.9,-0.5,21.2,16.9,4.3,
2021 estimate,,"762,379","3,395,055","101,911","653,164","718,231","516,473","1,170,976","43,528","1,127,448","234,300","152,619","-5,022","42,895","-13,028","-13,756",728,"100,220","27,554","547,504","628,098","-80,594","189,469","49,796","34,332","18,259","71,473","31,038","-15,429","-101,825","-83,071","-18,754","4,945,201","3,916,373","1,028,828",,15.4,68.7,3.1,11.1,3.8,-2.1,100.0,79.2,20.8,,3.2,14.4,0.6,2.3,0.8,-0.4,21.0,16.6,4.4,
2022 estimate,,"770,030","3,570,939","99,557","635,548","807,156","536,123","1,239,508","47,421","1,192,087","253,047","145,337",378,"42,552","-12,862","-13,481",619,"87,382","27,887","609,883","687,923","-78,040","184,822","49,485","34,338","18,484","72,323","32,012","-21,820","-103,534","-84,070","-19,464","5,177,477","4,082,275","1,095,202",,14.9,69.0,2.8,11.8,3.6,-2.0,100.0,78.8,21.2,,3.1,14.4,0.6,2.5,0.7,-0.4,20.9,16.5,4.4,
2023 estimate,,"777,528","3,679,726","95,716","652,750","828,818","537,815","1,312,474","51,503","1,260,971","252,153","135,128","-1,046","40,835","-13,971","-14,519",548,"83,440","25,870","663,691","740,420","-76,729","175,809","46,363","33,686","17,472","73,708","32,322","-27,742","-101,797","-81,821","-19,976","5,330,085","4,165,271","1,164,814",,14.6,69.0,2.5,12.5,3.3,-1.9,100.0,78.1,21.9,,3.0,14.1,0.5,2.6,0.7,-0.4,20.5,16.0,4.5,
2024 estimate,,"784,944","3,782,658","93,022","665,892","846,867","537,271","1,389,854","55,929","1,333,925","249,752","132,628","-2,105","40,933","-11,499","-12,165",666,"82,823","22,476","701,694","776,448","-74,754","153,490","45,102","33,831","16,847","75,130","32,486","-49,906","-102,428","-81,919","-20,509","5,452,986","4,213,658","1,239,328",,14.4,69.4,2.4,12.9,2.8,-1.9,100.0,77.3,22.7,,2.9,13.8,0.5,2.6,0.6,-0.4,20.0,15.4,4.5,
